season,match_day,date,home_team,away_team,result
2019-2020,8,"Friday 18 October
21:30 GMT+3",Eintracht Frankfurt,Bayer 04 Leverkusen,3-0
2019-2020,9,"Friday 25 October
21:30 GMT+3",1. FSV Mainz 05,1. FC Köln,3-1
2019-2020,10,"Friday 1 November
22:30 GMT+3",TSG Hoffenheim,SC Paderborn 07,3-0
2019-2020,11,"Friday 8 November
22:30 GMT+3",1. FC Köln,TSG Hoffenheim,1-2
2019-2020,12,"Friday 22 November
22:30 GMT+3",Borussia Dortmund,SC Paderborn 07,3-3
2019-2020,13,"Friday 29 November
22:30 GMT+3",FC Schalke 04,1. FC Union Berlin,2-1
2019-2020,14,"Friday 6 December
22:30 GMT+3",Eintracht Frankfurt,Hertha BSC,2-2
2019-2020,15,"Friday 13 December
22:30 GMT+3",TSG Hoffenheim,FC Augsburg,2-4
2019-2020,16,"Tuesday 17 December
20:30 GMT+3",SV Werder Bremen,1. FSV Mainz 05,0-5
2019-2020,17,"Friday 20 December
22:30 GMT+3",TSG Hoffenheim,Borussia Dortmund,2-1
2019-2020,18,"Friday 17 January
22:30 GMT+3",FC Schalke 04,Borussia Mönchengladbach,2-0
2019-2020,19,"Friday 24 January
22:30 GMT+3",Borussia Dortmund,1. FC Köln,5-1
2019-2020,20,"Friday 31 January
22:30 GMT+3",Hertha BSC,FC Schalke 04,0-0
2019-2020,21,"Friday 7 February
22:30 GMT+3",Eintracht Frankfurt,FC Augsburg,5-0
2019-2020,22,"Friday 14 February
22:30 GMT+3",Borussia Dortmund,Eintracht Frankfurt,4-0
2019-2020,23,"Friday 21 February
22:30 GMT+3",FC Bayern München,SC Paderborn 07,3-2
2019-2020,24,"Friday 28 February
22:30 GMT+3",Fortuna Düsseldorf,Hertha BSC,3-3
2019-2020,25,"Friday 6 March
22:00 GMT+3",SC Paderborn 07,1. FC Köln,1-2
2019-2020,26,"Saturday 16 May
16:30 GMT+3",FC Augsburg,VfL Wolfsburg,1-2
2019-2020,27,"Friday 22 May
21:30 GMT+3",Hertha BSC,1. FC Union Berlin,4-0
2019-2020,28,"Tuesday 26 May
19:30 GMT+3",Borussia Dortmund,FC Bayern München,0-1
2019-2020,29,"Friday 29 May
21:30 GMT+3",Sport-Club Freiburg,Bayer 04 Leverkusen,0-1
2019-2020,30,"Friday 5 June
21:30 GMT+3",Sport-Club Freiburg,Borussia Mönchengladbach,1-0
2019-2020,31,"Friday 12 June
21:30 GMT+3",TSG Hoffenheim,RB Leipzig,0-2
2019-2020,32,"Tuesday 16 June
19:30 GMT+3",Borussia Mönchengladbach,VfL Wolfsburg,3-0
2019-2020,33,"Saturday 20 June
16:30 GMT+3",SC Paderborn 07,Borussia Mönchengladbach,1-3
2019-2020,34,"Saturday 27 June
16:30 GMT+3",1. FC Union Berlin,Fortuna Düsseldorf,3-0
2020-2021,1,"Friday 18 September
21:30 GMT+3",FC Bayern München,FC Schalke 04,8-0
2020-2021,2,"Friday 25 September
21:30 GMT+3",Hertha BSC,Eintracht Frankfurt,1-3
2020-2021,3,"Friday 2 October
21:30 GMT+3",1. FC Union Berlin,1. FSV Mainz 05,4-0
2020-2021,4,"Saturday 17 October
16:30 GMT+3",TSG Hoffenheim,Borussia Dortmund,0-1
2020-2021,5,"Friday 23 October
21:30 GMT+3",VfB Stuttgart,1. FC Köln,1-1
2020-2021,6,"Friday 30 October
22:30 GMT+3",FC Schalke 04,VfB Stuttgart,1-1
2020-2021,7,"Friday 6 November
22:30 GMT+3",SV Werder Bremen,1. FC Köln,1-1
2020-2021,8,"Saturday 21 November
17:30 GMT+3",DSC Arminia Bielefeld,Bayer 04 Leverkusen,1-2
2020-2021,9,"Friday 27 November
22:30 GMT+3",VfL Wolfsburg,SV Werder Bremen,5-3
2020-2021,10,"Friday 4 December
22:30 GMT+3",Hertha BSC,1. FC Union Berlin,3-1
2020-2021,11,"Friday 11 December
22:30 GMT+3",VfL Wolfsburg,Eintracht Frankfurt,2-1
2020-2021,12,"Tuesday 15 December
20:30 GMT+3",Eintracht Frankfurt,Borussia Mönchengladbach,3-3
2020-2021,13,"Friday 18 December
22:30 GMT+3",1. FC Union Berlin,Borussia Dortmund,2-1
